bus;Pg;Qg;Qmax;Qmin;Vg;mBase;status;Pmax;Pmin;c2;c1;c0
766;2.05;0.5;1;0;1.035;3;1;2.1;2;0;0;0
784;0.685;0;0;0;1.035;1;1;0.7;0.67;0;0;0
790;48.555;35;35;35;1.035;60;1;49.8;47.31;0;0;0
795;1.845;1;1;1;1.035;2;1;1.89;1.8;0;0;0
798;2.915;3;3;3;1.035;4;1;2.99;2.84;0;0;0
814;43.795;21;42;0;1.035;54;1;44.92;42.67;0;0;0
834;39;41.5;83;0;1.035;110;1;55;23;0;114.15;0
878;2.915;0;0;0;1.035;4;1;2.99;2.84;0;0;0
884;2.43;0;0;0;1.035;3;1;2.49;2.37;0;0;0
892;31.075;24;42;6;1.035;38;1;31.87;30.28;0;0;0
895;8.735;7;7;7;1.035;11;1;8.96;8.51;0;0;0
901;3.59;2;2;2;1.035;4;1;3.68;3.5;0;0;0
910;4.465;3;3;3;1.035;6;1;4.58;4.35;0;0;0
911;325;112;224;0;1.035;415;1;370;280;0;87.95;0
912;325;112;224;0;1.035;415;1;370;280;0;130.25;0
914;15.53;10;10;10;1.035;19;1;15.93;15.13;0;0;0
917;2.04;0;0;0;1.035;3;1;2.09;1.99;0;0;0
919;21.36;12;12;12;1.035;26;1;21.91;20.81;0;0;0
920;1.94;0;0;0;1.035;2;1;1.99;1.89;0;0;0
929;62.135;39.5;50;29;1.035;77;1;63.73;60.54;0;0;0
959;2.43;1;1;1;1.035;3;1;2.49;2.37;0;0;0
968;0.685;0;0;0;1.035;1;1;0.7;0.67;0;0;0
993;3.88;1;1;1;1.035;5;1;3.98;3.78;0;0;0
994;1.94;1;1;1;1.035;2;1;1.99;1.89;0;0;0
995;60;19;38;0;1.035;60;1;100;20;0;145.97;0
996;35;19;38;0;1.035;60;1;50;20;0;137.58;0
997;35;19;38;0;1.035;60;1;50;20;0;147.36;0
1004;4.175;3;3;3;1.035;5;1;4.28;4.07;0;0;0
1024;0.1;0;0;0;1.035;0;1;0.1;0.1;0;0;0
1027;24.28;13;13;13;1.035;30;1;24.9;23.66;0;0;0
1028;2.915;3;3;3;1.035;4;1;2.99;2.84;0;0;0
1029;24.28;14;14;14;1.035;30;1;24.9;23.66;0;0;0
1053;58.265;26.5;53;0;1.035;72;1;59.76;56.77;0;0;0
1054;29.135;15.5;31;0;1.035;36;1;29.88;28.39;0;0;0
1105;7.77;10;10;10;1.035;10;1;7.97;7.57;0;0;0
1106;22.335;13;13;13;1.035;28;1;22.91;21.76;0;0;0
1107;10.295;3;3;3;1.035;13;1;10.56;10.03;0;0;0
1138;43.7;20.5;41;0;1.035;54;1;44.82;42.58;0;0;0
1140;150;56;199;-87;1.035;252;1;230;70;0;82.92;0
1141;147.5;50.5;190;-89;1.035;251;1;225;70;0;133.59;0
1175;36.895;20;20;20;1.035;45;1;37.84;35.95;0;0;0
1182;80;37.5;125;-50;1.035;133;1;120;40;0;152.95;0
1183;80;37.5;125;-50;1.035;133;1;120;40;0;67.35;0
1184;80;37.5;125;-50;1.035;133;1;120;40;0;134.93;0
1191;103.895;41;129;-47;1.035;128;1;106.56;101.23;0;0;0
1192;165;37.5;125;-50;1.035;123;1;250;80;0;61.32;0
1201;97.1;45;90;0;1.035;120;1;99.59;94.61;0;0;0
1202;97.1;45;90;0;1.035;120;1;99.59;94.61;0;0;0
1203;97.1;45;90;0;1.035;120;1;99.59;94.61;0;0;0
1232;50.495;20.5;41;0;1.035;62;1;51.79;49.2;0;0;0
1233;14.565;20.5;41;0;1.035;18;1;14.94;14.19;0;0;0
1244;18.445;20;20;20;1.035;23;1;18.92;17.97;0;0;0
1247;15.53;12;12;12;1.035;19;1;15.93;15.13;0;0;0
1250;192.26;75.5;151;0;1.035;237;1;197.19;187.33;0;0;0
1268;0.49;0;0;0;1.035;1;1;0.5;0.48;0;0;0
1316;0.975;0;0;0;1.035;1;1;1;0.95;0;0;0
1325;1.355;0;0;0;1.035;2;1;1.39;1.32;0;0;0
1349;1.455;0;0;0;1.035;2;1;1.49;1.42;0;0;0
1356;0.975;2;2;2;1.035;1;1;1;0.95;0;0;0
1359;0.78;1;1;1;1.035;1;1;0.8;0.76;0;0;0
1393;12.43;5.5;11;0;1.035;15;1;12.75;12.11;0;0;0
1403;4.175;1;1;1;1.035;5;1;4.28;4.07;0;0;0
1416;225.5;95;180;10;1.035;246;1;371;80;0;61.4;0
1417;100;62.5;120;5;1.035;123;1;120;80;0;114.99;0
1418;12.5;47.5;90;5;1.035;123;1;20;5;0;122.64;0
1426;257.5;47.5;68;27;1.035;106;1;495;20;0;118.84;0
1429;0.195;0;0;0;1.035;0;1;0.2;0.19;0;0;0
1469;0.585;0;0;0;1.035;1;1;0.6;0.57;0;0;0
1475;2.04;2;2;2;1.035;3;1;2.09;1.99;0;0;0
1504;30.39;2;2;2;1.035;37;1;31.17;29.61;0;0;0
1505;47.58;4;4;4;1.035;59;1;48.8;46.36;0;0;0
1514;2.235;1;1;1;1.035;3;1;2.29;2.18;0;0;0
1534;0.295;0;0;0;1.035;0;1;0.3;0.29;0;0;0
1536;192.5;50.5;190;-89;1.035;251;1;225;160;0;143.83;0
1537;192.5;54;203;-95;1.035;255;1;225;160;0;67.48;0
1538;142.5;50.5;190;-89;1.035;255;1;215;70;0;88;0
1542;8.735;3;3;3;1.035;11;1;8.96;8.51;0;0;0
1543;1.17;0;0;0;1.035;1;1;1.2;1.14;0;0;0
1550;1.745;1;1;1;1.035;2;1;1.79;1.7;0;0;0
1566;53.4;33.5;47;20;1.035;66;1;54.77;52.03;0;0;0
1587;62.145;27;27;27;1.035;77;1;63.74;60.55;0;0;0
1600;16.995;3;3;3;1.035;21;1;17.43;16.56;0;0;0
1602;80;45;90;0;1.035;144;1;120;40;0;129.86;0
1603;80;45;90;0;1.035;144;1;120;40;0;108.16;0
1609;0.295;0;0;0;1.035;0;1;0.3;0.29;0;0;0
1617;1.95;0;0;0;1.035;2;1;2;1.9;0;0;0
1620;1.56;0;0;0;1.035;2;1;1.6;1.52;0;0;0
1627;1.56;0;0;0;1.035;2;1;1.6;1.52;0;0;0
1630;0.49;0;0;0;1.035;1;1;0.5;0.48;0;0;0
1635;0.1;0;0;0;1.035;0;1;0.1;0.1;0;0;0
1638;29.25;5;10;0;1.035;36;1;30;28.5;0;0;0
1664;146.25;60;120;0;1.035;180;1;150;142.5;0;0;0
1669;49.725;8;16;0;1.035;61;1;51;48.45;0;0;0
1673;48.75;42.5;85;0;1.035;60;1;50;47.5;0;0;0
1674;87.75;45;90;0;1.035;108;1;90;85.5;0;0;0
1679;2.925;0;0;0;1.035;4;1;3;2.85;0;0;0
1683;2.245;0;0;0;1.035;3;1;2.3;2.19;0;0;0
1685;2.925;0;0;0;1.035;4;1;3;2.85;0;0;0
1686;48.75;10;20;0;1.035;60;1;50;47.5;0;0;0
1698;2.73;0;0;0;1.035;3;1;2.8;2.66;0;0;0
1700;0.49;0;0;0;1.035;1;1;0.5;0.48;0;0;0
1706;14.625;0;0;0;1.035;18;1;15;14.25;0;0;0
1710;2.925;0;0;0;1.035;4;1;3;2.85;0;0;0
1712;107.25;45;90;0;1.035;132;1;110;104.5;0;0;0
1717;2.05;0;0;0;1.035;3;1;2.1;2;0;0;0
1719;1.755;0;0;0;1.035;2;1;1.8;1.71;0;0;0
1726;3.415;0;0;0;1.035;4;1;3.5;3.33;0;0;0
1728;2.635;0;0;0;1.035;3;1;2.7;2.57;0;0;0
1730;1.365;0;0;0;1.035;2;1;1.4;1.33;0;0;0
1734;0.78;0;0;0;1.035;1;1;0.8;0.76;0;0;0
1735;4.875;1;2;0;1.035;6;1;5;4.75;0;0;0
1739;2.925;0;0;0;1.035;4;1;3;2.85;0;0;0
1742;0.39;0;0;0;1.035;1;1;0.4;0.38;0;0;0
1749;5.85;0;0;0;1.035;7;1;6;5.7;0;0;0
1758;1.66;0;0;0;1.035;2;1;1.7;1.62;0;0;0
1760;37.5;6;12;0;1.035;30;1;55;20;0;75.66;0
1761;54;11;22;0;1.035;72;1;78;30;0;76.87;0
1763;35;6;12;0;1.035;48;1;50;20;0;143.58;0
1764;35;6;12;0;1.035;48;1;50;20;0;153.15;0
1768;3.9;0;0;0;1.035;5;1;4;3.8;0;0;0
1788;3.22;0;0;0;1.035;4;1;3.3;3.14;0;0;0
1793;2.925;0;0;0;1.035;4;1;3;2.85;0;0;0
1799;1.465;0;0;0;1.035;2;1;1.5;1.43;0;0;0
1807;2.535;0;0;0;1.035;3;1;2.6;2.47;0;0;0
1844;1.17;0;0;0;1.035;1;1;1.2;1.14;0;0;0
1845;1.17;0;0;0;1.035;1;1;1.2;1.14;0;0;0
1870;1.17;0;0;0;1.035;1;1;1.2;1.14;0;0;0
1871;0.585;0;0;0;1.035;1;1;0.6;0.57;0;0;0
1874;3.9;0;0;0;1.035;5;1;4;3.8;0;0;0
1875;0.49;0;0;0;1.035;1;1;0.5;0.48;0;0;0
1882;135;60;120;0;1.035;240;1;200;70;0;131.78;0
1883;135;60;120;0;1.035;218;1;200;70;0;53.88;0
1894;1.465;0;0;0;1.035;2;1;1.5;1.43;0;0;0
1895;0.295;0;0;0;1.035;0;1;0.3;0.29;0;0;0
1904;16.575;0;0;0;1.035;20;1;17;16.15;0;0;0
1918;5.85;1;2;0;1.035;7;1;6;5.7;0;0;0
1921;49.435;7.5;15;0;1.035;61;1;50.7;48.17;0;0;0
1932;2.44;0;0;0;1.035;3;1;2.5;2.38;0;0;0
1940;1.95;0;0;0;1.035;2;1;2;1.9;0;0;0
1947;5.85;0;0;0;1.035;7;1;6;5.7;0;0;0
1960;1.465;0;0;0;1.035;2;1;1.5;1.43;0;0;0
1961;0.585;0;0;0;1.035;1;1;0.6;0.57;0;0;0
1962;0.585;0;0;0;1.035;1;1;0.6;0.57;0;0;0
1964;0.49;0;0;0;1.035;1;1;0.5;0.48;0;0;0
1966;2.83;0;0;0;1.035;4;1;2.9;2.76;0;0;0
1970;1.95;0;0;0;1.035;2;1;2;1.9;0;0;0
1974;3.415;0;0;0;1.035;4;1;3.5;3.33;0;0;0
1976;2.73;0;0;0;1.035;3;1;2.8;2.66;0;0;0
1977;2.925;0;0;0;1.035;4;1;3;2.85;0;0;0
1993;2.535;0;0;0;1.035;3;1;2.6;2.47;0;0;0
1995;20.475;4;8;0;1.035;25;1;21;19.95;0;0;0
1996;0.195;0;0;0;1.035;0;1;0.2;0.19;0;0;0
1998;0.39;0;0;0;1.035;1;1;0.4;0.38;0;0;0
2010;195;60;120;0;1.035;240;1;200;190;0;0;0
2021;81.315;40;80;0;1.035;100;1;83.4;79.23;0;0;0
2022;78.975;40;80;0;1.035;97;1;81;76.95;0;0;0
2026;24.375;5;10;0;1.035;30;1;25;23.75;0;0;0
2027;11.7;0;0;0;1.035;14;1;12;11.4;0;0;0
2033;5.46;0;0;0;1.035;7;1;5.6;5.32;0;0;0
2034;0.49;0;0;0;1.035;1;1;0.5;0.48;0;0;0
2036;0.39;0;0;0;1.035;1;1;0.4;0.38;0;0;0
2046;0.975;0;0;0;1.035;1;1;1;0.95;0;0;0
2085;0.295;0;0;0;1.035;0;1;0.3;0.29;0;0;0
2088;0.49;0;0;0;1.035;1;1;0.5;0.48;0;0;0
2099;17.55;10;20;0;1.035;22;1;18;17.1;0;0;0
2106;0.975;0;0;0;1.035;1;1;1;0.95;0;0;0
2107;2.925;0;0;0;1.035;4;1;3;2.85;0;0;0
2108;0.585;0;0;0;1.035;1;1;0.6;0.57;0;0;0
2115;2.34;0;0;0;1.035;3;1;2.4;2.28;0;0;0
2119;107.25;10;20;0;1.035;132;1;110;104.5;0;0;0
2121;0.975;0;0;0;1.035;1;1;1;0.95;0;0;0
2127;2.145;0.5;1;0;1.035;3;1;2.2;2.09;0;0;0
2138;48.75;5;10;0;1.035;60;1;50;47.5;0;0;0
2139;39;4;8;0;1.035;48;1;40;38;0;0;0
2140;7.51;0.5;1;0;1.035;9;1;7.7;7.32;0;0;0
2153;0.685;0;0;0;1.035;1;1;0.7;0.67;0;0;0
2159;11.7;0;999;-999;1.035;14;1;12;11.4;0;0;0
2164;4;0.5;1;0;1.035;5;1;4.1;3.9;0;0;0
2167;87.75;10;20;0;1.035;108;1;90;85.5;0;0;0
2168;48.75;4;8;0;1.035;60;1;50;47.5;0;0;0
2171;6.34;0.5;1;0;1.035;8;1;6.5;6.18;0;0;0
2194;9.75;2;4;0;1.035;12;1;10;9.5;0;0;0
2197;26.325;9;18;0;1.035;32;1;27;25.65;0;0;0
2204;25.35;5;10;0;1.035;31;1;26;24.7;0;0;0
2213;2.535;0.5;1;0;1.035;3;1;2.6;2.47;0;0;0
2217;3.9;0.5;1;0;1.035;5;1;4;3.8;0;0;0
2218;1.465;0;0;0;1.035;2;1;1.5;1.43;0;0;0
2221;47.775;0;999;-999;1.035;59;1;49;46.55;0;0;0
2225;1.56;0;0;0;1.035;2;1;1.6;1.52;0;0;0
2234;2.635;0.5;1;0;1.035;3;1;2.7;2.57;0;0;0
2237;16.09;9;18;0;1.035;20;1;16.5;15.68;0;0;0
2248;1.95;0.5;1;0;1.035;2;1;2;1.9;0;0;0
2268;1.755;0;0;0;1.035;2;1;1.8;1.71;0;0;0
2271;2.34;0;0;0;1.035;3;1;2.4;2.28;0;0;0
2272;9.75;2;4;0;1.035;12;1;10;9.5;0;0;0
2273;6.145;1;2;0;1.035;8;1;6.3;5.99;0;0;0
2278;1.465;0;0;0;1.035;2;1;1.5;1.43;0;0;0
2290;0.195;0;0;0;1.035;0;1;0.2;0.19;0;0;0
2293;2.44;0.5;1;0;1.035;3;1;2.5;2.38;0;0;0
2294;0.975;0.5;1;0;1.035;1;1;1;0.95;0;0;0
2296;13.165;2;4;0;1.035;16;1;13.5;12.83;0;0;0
2298;0.39;0;0;0;1.035;1;1;0.4;0.38;0;0;0
2307;0.39;0;0;0;1.035;1;1;0.4;0.38;0;0;0
2323;1.075;0;0;0;1.035;1;1;1.1;1.05;0;0;0
2328;2.925;0.5;1;0;1.035;4;1;3;2.85;0;0;0
2330;0.295;0;0;0;1.035;0;1;0.3;0.29;0;0;0
2336;53.625;20.5;41;0;1.035;66;1;55;52.25;0;0;0
2339;16.575;3;6;0;1.035;20;1;17;16.15;0;0;0
2361;49.725;5;10;0;1.035;61;1;51;48.45;0;0;0
2372;36.075;9.5;19;0;1.035;44;1;37;35.15;0;0;0
2376;1.95;0.5;1;0;1.035;2;1;2;1.9;0;0;0
2379;6.825;1;2;0;1.035;8;1;7;6.65;0;0;0
2380;48.75;2;22;-18;1.035;60;1;50;47.5;0;0;0
2381;48.75;2;22;-18;1.035;60;1;50;47.5;0;0;0
