fbus;tbus;r;x;b;rateA;rateB;rateC;ratio;angle;status;angmin;angmax
834;60;0.00145;0.06921;-0.00532;160;160;160;0.9936;0;1;-30;30
836;60;0.00372;0.12583;-0.00242;100;100;100;1.0154;0;1;-30;30
62;61;0;0.0001;0;876;876;876;0;0;1;-30;30
64;61;0.00517;0.03843;0.05876;464;464;464;0;0;1;-30;30
109;61;0.00083;0.0062;0.00958;464;464;464;0;0;1;-30;30
184;61;0.01219;0.07066;0.11742;274;274;274;0;0;1;-30;30
82;62;0.00165;0.01095;0.01955;464;464;464;0;0;1;-30;30
110;62;0.00083;0.0062;0.00949;464;464;464;0;0;1;-30;30
71;63;0.00475;0.03079;0.04879;362;362;362;0;0;1;-30;30
91;63;0.00455;0.02769;0.04608;394;394;394;0;0;1;-30;30
94;63;0.00186;0.0126;0.02236;464;464;464;0;0;1;-30;30
96;63;0.00826;0.04236;0.06118;362;362;362;0;0;1;-30;30
64;69;0.00434;0.02975;0.05266;464;464;464;0;0;1;-30;30
79;64;0.00351;0.02438;0.03998;362;362;362;0;0;1;-30;30
93;64;0.00186;0.0126;0.02236;464;464;464;0;0;1;-30;30
95;64;0.00826;0.04236;0.06118;362;362;362;0;0;1;-30;30
90;65;0.00785;0.04132;0.06389;394;394;394;0;0;1;-30;30
65;91;0.00227;0.01446;0.02585;394;394;394;0;0;1;-30;30
66;67;0.00031;0.02094;0;500;500;500;1.0616;0;1;-30;30
66;68;0.00248;0.02355;0.04763;457;457;457;0;0;1;-30;30
152;66;0.01033;0.08285;0.13959;464;464;464;0;0;1;-30;30
138;67;0.00194;0.02056;0.51584;866;866;866;0;0;1;-30;30
911;67;0.00156;0.06269;-0.00992;250;250;250;1.0656;0;1;-30;30
912;67;0.00156;0.06269;-0.00992;250;250;250;1.066;0;1;-30;30
68;78;0.00579;0.04153;0.06621;464;464;464;0;0;1;-30;30
978;68;0.00165;0.06694;-0.0031;160;160;160;1.0083;0;1;-30;30
979;68;0.00145;0.06653;-0.00319;160;160;160;1.006;0;1;-30;30
83;69;0.00145;0.00992;0.01762;464;464;464;0;0;1;-30;30
995;69;0.00145;0.0655;-0.00252;160;160;160;1.0107;0;1;-30;30
996;69;0.00145;0.07045;-0.00252;160;160;160;1.0025;0;1;-30;30
70;73;0.00145;0.00971;0.01626;457;457;457;0;0;1;-30;30
107;70;0.00062;0.00413;0.00697;457;457;457;0;0;1;-30;30
72;71;0;0.0001;0;876;876;876;0;0;1;-30;30
86;71;0.00165;0.00971;0.01423;362;362;362;0;0;1;-30;30
1059;71;0.00145;0.06983;-0.00232;160;160;160;1.0193;0;1;-30;30
1060;71;0.00165;0.06777;-0.00281;160;160;160;0.9558;0;1;-30;30
73;75;0.00075;0.02444;-0.00832;330;330;330;1.0544;-1.7;1;-30;30
87;73;0.00393;0.02851;0.04501;464;464;464;0;0;1;-30;30
74;76;0.00075;0.02469;-0.008;330;330;330;1.0606;-1.7;1;-30;30
74;108;0.00083;0.00517;0.00871;464;464;464;0;0;1;-30;30
76;75;0;0.0001;0;1593;1593;1593;0;0;1;-30;30
76;105;0.00244;0.02756;0.768;845;845;845;0;0;1;-30;30
84;77;0.00393;0.02665;0.04617;457;457;457;0;0;1;-30;30
85;77;0.00186;0.01384;0.02284;464;464;464;0;0;1;-30;30
1095;77;0.00165;0.06694;-0.0029;160;160;160;1.0162;0;1;-30;30
1096;77;0.00145;0.06736;-0.00658;160;160;160;1.0085;0;1;-30;30
78;103;0.00496;0.03368;0.05963;464;464;464;0;0;1;-30;30
1106;78;0.00145;0.06839;-0.00319;160;160;160;1.0272;0;1;-30;30
88;79;0.0031;0.02335;0.0362;464;464;464;0;0;1;-30;30
81;80;0;0.0001;0;876;876;876;0;0;1;-30;30
80;96;0.01591;0.0876;0.11684;362;362;362;0;0;1;-30;30
1114;80;0.00165;0.06694;-0.00232;160;160;160;0.9876;0;1;-30;30
93;81;0.01777;0.11674;0.16359;362;362;362;0;0;1;-30;30
1115;81;0.00165;0.06694;-0.00319;160;160;160;0.9847;0;1;-30;30
1138;82;0.00165;0.06756;-0.00319;160;160;160;1.0035;0;1;-30;30
1139;82;0.00145;0.06756;-0.00223;160;160;160;1.0148;0;1;-30;30
84;83;0;0.0001;0;876;876;876;0;0;1;-30;30
103;83;0.0031;0.02169;0.03843;464;464;464;0;0;1;-30;30
1141;83;0.00145;0.06653;-0.0029;160;160;160;1.0054;0;1;-30;30
184;84;0.01178;0.07087;0.11684;274;274;274;0;0;1;-30;30
1192;84;0.00165;0.0686;-0.0029;160;160;160;1.001;0;1;-30;30
86;85;0;0.0001;0;876;876;876;0;0;1;-30;30
1182;85;0.00207;0.0936;-0.00339;160;160;160;1.0033;0;1;-30;30
86;108;0.00537;0.0405;0.06002;464;464;464;0;0;1;-30;30
1184;86;0.00186;0.09277;-0.003;160;160;160;0.9967;0;1;-30;30
88;87;0;0.0001;0;876;876;876;0;0;1;-30;30
94;87;0.00599;0.03512;0.05237;362;362;362;0;0;1;-30;30
1213;87;0.00145;0.06715;-0.00223;160;160;160;1.0209;0;1;-30;30
89;94;0.00599;0.04153;0.07366;464;464;464;0;0;1;-30;30
102;89;0.00207;0.01343;0.02207;362;362;362;0;0;1;-30;30
1217;89;0.00145;0.0657;-0.00523;160;160;160;1.0212;0;1;-30;30
104;90;0.00455;0.0314;0.05489;464;464;464;0;0;1;-30;30
1244;90;0.00145;0.06756;-0.00348;160;160;160;1;0;1;-30;30
1343;91;0.00145;0.06756;-0.0029;160;160;160;1.0144;0;1;-30;30
100;92;0.00094;0.01038;0.28992;845;845;845;0;0;1;-30;30
92;106;0.00094;0.0105;0.2928;845;845;845;0;0;1;-30;30
1382;92;0.00156;0.06269;-0.00864;250;250;250;1.0686;0;1;-30;30
1384;92;0.00156;0.06294;-0.00864;250;250;250;1.0794;0;1;-30;30
94;93;0;0.0001;0;876;876;876;0;0;1;-30;30
1418;93;0.00145;0.06736;-0.00223;160;160;160;1.0031;0;1;-30;30
96;95;0;0.0001;0;876;876;876;0;0;1;-30;30
102;95;0.00455;0.02459;0.0362;362;362;362;0;0;1;-30;30
1426;96;0.00145;0.06674;-0.00658;160;160;160;1.0075;0;1;-30;30
1427;97;0.00041;0.01818;0;125;125;125;0.9996;0;1;-30;30
99;98;0;0.0001;0;1593;1593;1593;0;0;1;-30;30
1502;98;0.00137;0.05988;-0.01504;250;250;250;1.1628;0;1;-30;30
101;99;0.00313;0.03562;0.99104;845;845;845;0;0;1;-30;30
101;100;0;0.0001;0;1593;1593;1593;0;0;1;-30;30
1504;100;0.00137;0.06119;-0.00992;250;250;250;1.0798;0;1;-30;30
1505;101;0.00156;0.06269;-0.00992;250;250;250;1.0818;0;1;-30;30
1524;102;0.00165;0.06694;-0.003;160;160;160;1.0081;0;1;-30;30
104;103;0;0.0001;0;876;876;876;0;0;1;-30;30
103;106;0.0005;0.02875;-0.016;400;400;400;1.0641;0;1;-30;30
1536;103;0.00145;0.0686;-0.00232;160;160;160;1.0043;0;1;-30;30
1538;104;0.00165;0.06818;-0.0029;160;160;160;1.004;0;1;-30;30
106;105;0;0.0001;0;1593;1593;1593;0;0;1;-30;30
105;185;0.00187;0.01763;0.4832;1108;1108;1108;0;0;1;-30;30
106;180;0.0015;0.01469;0.40384;1108;1108;1108;0;0;1;-30;30
108;107;0.00062;0.00496;0.00755;464;464;464;0;0;1;-30;30
1552;107;0.00145;0.06756;-0.00378;160;160;160;1.0333;0;1;-30;30
1553;107;0.00145;0.0655;-0.0029;160;160;160;1.0192;0;1;-30;30
112;111;0;0.0001;0;876;876;876;0;0;1;-30;30
123;111;0.00438;0.03188;0.05072;464;464;464;0;0;1;-30;30
124;111;0.00614;0.03252;0.05246;362;362;362;0;0;1;-30;30
1603;111;0.00165;0.0625;0;160;160;160;1.0034;0;1;-30;30
113;114;0.00506;0.03654;0.0636;304;304;304;0;0;1;-30;30
151;113;0.00221;0.01655;0.02478;304;304;304;0;0;1;-30;30
1623;113;0.00145;0.06818;0;160;160;160;1.0733;0;1;-30;30
1624;113;0.00165;0.06818;0;160;160;160;1.0618;0;1;-30;30
114;131;0.00583;0.04231;0.07066;464;464;464;0;0;1;-30;30
1647;114;0.00151;0.06688;0;160;160;160;1.0504;0;1;-30;30
116;115;0;0.0001;0;1593;1593;1593;0;0;1;-30;30
133;115;0.00274;0.02696;0.70592;1385;1385;1385;0;0;1;-30;30
1649;115;0.00153;0.06206;0;250;250;250;1.1835;0;1;-30;30
138;116;0.0017;0.01733;0.45632;1385;1385;1385;0;0;1;-30;30
1650;116;0.00152;0.06206;0;250;250;250;1.1614;0;1;-30;30
140;117;0.01103;0.08057;0.12413;304;304;304;0;0;1;-30;30
143;117;0.00355;0.02593;0.04124;464;464;464;0;0;1;-30;30
1655;117;0.00151;0.06688;0;160;160;160;1.0335;0;1;-30;30
119;118;0;0.0001;0;876;876;876;0;0;1;-30;30
126;118;0.00647;0.0413;0.06921;464;464;464;0;0;1;-30;30
142;118;0.00105;0.00721;0.01028;464;464;464;0;0;1;-30;30
1680;118;0.00151;0.06688;0;160;160;160;1.0498;0;1;-30;30
125;120;0.01043;0.07789;0.12206;464;464;464;0;0;1;-30;30
130;120;0.01054;0.07686;0.12236;464;464;464;0;0;1;-30;30
1686;120;0.00161;0.06653;0;160;160;160;1.0639;0;1;-30;30
1687;120;0.00161;0.06653;0;160;160;160;1.0532;0;1;-30;30
122;121;0;0.0001;0;876;876;876;0;0;1;-30;30
151;121;0.00603;0.04401;0.06979;464;464;464;0;0;1;-30;30
1747;121;0.00145;0.06818;0;160;160;160;1.0226;0;1;-30;30
1748;121;0.00145;0.06818;0;160;160;160;1.028;0;1;-30;30
124;123;0;0.0001;0;876;876;876;0;0;1;-30;30
140;123;0.00048;0.00331;0.00571;464;464;464;0;0;1;-30;30
144;123;0.0186;0.09638;0.14094;362;362;362;0;0;1;-30;30
1760;123;0.00341;0.22521;0;80;80;80;0.9794;0;1;-30;30
1762;123;0.00165;0.06851;0;160;160;160;1.0321;0;1;-30;30
1764;123;0.00562;0.23161;0;80;80;80;0.9407;0;1;-30;30
139;124;0.00048;0.00331;0.00571;304;304;304;0;0;1;-30;30
1761;124;0.00341;0.2314;0;80;80;80;0.9794;0;1;-30;30
1763;124;0.00562;0.22624;0;80;80;80;0.9407;0;1;-30;30
126;125;0;0.0001;0;876;876;876;0;0;1;-30;30
135;125;0.00469;0.03465;0.05382;464;464;464;0;0;1;-30;30
186;125;0.00165;0.01591;0.04695;464;464;464;0;0;1;-30;30
1775;125;0.00163;0.06136;0.00416;160;160;160;1.0176;0;1;-30;30
126;127;0.00064;0.0305;0;400;400;400;1.0488;0;1;-30;30
186;126;0.00165;0.01591;0.04695;464;464;464;0;0;1;-30;30
128;127;0;0.0001;0;1593;1593;1593;0;0;1;-30;30
157;127;0.00294;0.03463;0.9216;831;831;831;0;0;1;-30;30
145;128;0.00371;0.04326;1.18688;748;748;748;0;0;1;-30;30
143;129;0.00934;0.05225;0.0877;394;394;394;0;0;1;-30;30
129;148;0.01058;0.053;0.08848;394;394;394;0;0;1;-30;30
1814;129;0.00165;0.0593;0;160;160;160;1.0499;0;1;-30;30
130;132;0.01252;0.09136;0.14539;381;381;381;0;0;1;-30;30
130;154;0.00771;0.05696;0.08838;381;381;381;0;0;1;-30;30
1822;130;0.00165;0.0593;0;160;160;160;1.088;0;1;-30;30
1823;130;0.00165;0.0593;0;160;160;160;1.094;0;1;-30;30
132;131;0;0.0001;0;876;876;876;0;0;1;-30;30
131;133;0.00084;0.02756;0;330;330;330;1.1147;-2.4;1;-30;30
147;131;0.01545;0.07335;0.12661;464;464;464;0;0;1;-30;30
151;131;0.01457;0.07955;0.14007;394;394;394;0;0;1;-30;30
1839;131;0.00165;0.09277;0;160;160;160;1.0343;0;1;-30;30
132;134;0.00084;0.02756;0;330;330;330;1.1147;-2.4;1;-30;30
148;132;0.01545;0.07335;0.12661;464;464;464;0;0;1;-30;30
150;132;0.01457;0.07955;0.14007;394;394;394;0;0;1;-30;30
1840;132;0.00165;0.06694;0;160;160;160;1.0225;0;1;-30;30
134;133;0;0.0001;0;1593;1593;1593;0;0;1;-30;30
182;133;0.00031;0.00338;0.0992;1385;1385;1385;0;0;1;-30;30
182;134;0.00031;0.00338;0.0992;1385;1385;1385;0;0;1;-30;30
136;135;0;0.0001;0;876;876;876;0;0;1;-30;30
142;135;0.0061;0.04483;0.07095;464;464;464;0;0;1;-30;30
1845;135;0.00029;0.06136;0.00416;160;160;160;1.0654;0;1;-30;30
1846;135;0.00165;0.0686;0;160;160;160;1.0626;0;1;-30;30
138;137;0;0.0001;0;1593;1593;1593;0;0;1;-30;30
1880;138;0.00138;0.05931;0;250;250;250;1.1019;0;1;-30;30
1881;138;0.00138;0.05931;0;250;250;250;1.1019;0;1;-30;30
140;139;0;0.0001;0;876;876;876;0;0;1;-30;30
166;139;0.01386;0.08702;0.13504;304;304;304;0;0;1;-30;30
174;139;0.01176;0.06829;0.1028;381;381;381;0;0;1;-30;30
167;140;0.01717;0.0894;0.12903;304;304;304;0;0;1;-30;30
1882;140;0.00163;0.07033;0;160;160;160;1.003;0;1;-30;30
144;141;0.01312;0.07622;0.11664;381;381;381;0;0;1;-30;30
178;141;0.01676;0.09717;0.14868;274;274;274;0;0;1;-30;30
1902;141;0.00165;0.0593;0;160;160;160;1.0291;0;1;-30;30
1903;141;0.00165;0.0593;0;160;160;160;1.0279;0;1;-30;30
1904;142;0.00281;0.10601;0;100;100;100;1.0771;0;1;-30;30
1905;142;0.00281;0.10601;0;100;100;100;0.9302;0;1;-30;30
144;143;0;0.0001;0;876;876;876;0;0;1;-30;30
143;145;0.00035;0.02375;0;500;500;500;1.1409;0;1;-30;30
149;143;0.00244;0.01318;0.0213;160;160;160;0;0;1;-30;30
144;147;0.01849;0.0956;0.15914;304;304;304;0;0;1;-30;30
1907;144;0.00165;0.0593;0;160;160;160;1.0366;0;1;-30;30
146;145;0;0.0001;0;1593;1593;1593;0;0;1;-30;30
1906;145;0.00153;0.06206;0;250;250;250;1.1273;0;1;-30;30
148;147;0;0.0001;0;876;876;876;0;0;1;-30;30
154;147;0.0024;0.01779;0.02759;381;381;381;0;0;1;-30;30
1919;147;0.00165;0.06653;0;160;160;160;1.0906;0;1;-30;30
1920;148;0.00165;0.06775;0;160;160;160;1.0137;0;1;-30;30
1925;149;0.00165;0.05229;0;160;160;160;1.0317;0;1;-30;30
151;150;0;0.0001;0;876;876;876;0;0;1;-30;30
152;150;0.00517;0.03698;0.05895;464;464;464;0;0;1;-30;30
1987;150;0.00165;0.06818;0;160;160;160;1.0702;0;1;-30;30
1988;151;0.00165;0.06818;0;160;160;160;1.0633;0;1;-30;30
153;152;0;0.0001;0;876;876;876;0;0;1;-30;30
2090;152;0.00165;0.06632;0;160;160;160;1.0646;0;1;-30;30
2112;154;0.00165;0.06632;0;160;160;160;1.0891;0;1;-30;30
2113;154;0.00165;0.06632;0;160;160;160;1.0903;0;1;-30;30
166;155;0.0018;0.02114;0.0515;160;160;160;0;0;1;-30;30
2134;155;0.00155;0.06585;0;160;160;160;1.0712;0;1;-30;30
156;158;0.00059;0.03093;0;400;400;400;1.1047;0;1;-30;30
179;156;0.0057;0.04236;0.12971;365;365;365;0;0;1;-30;30
158;157;0;0.0001;0;1593;1593;1593;0;0;1;-30;30
2157;157;0.00137;0.05969;0;250;250;250;1.0995;0;1;-30;30
176;158;0.00281;0.03312;0.88096;831;831;831;0;0;1;-30;30
160;159;0;0.0001;0;1593;1593;1593;0;0;1;-30;30
159;165;0.00224;0.02583;0.72352;831;831;831;0;0;1;-30;30
159;176;0.00133;0.01569;0.41821;831;831;831;0;0;1;-30;30
2165;159;0.00129;0.06437;0;250;250;250;1.0465;0;1;-30;30
168;160;0.0021;0.02475;0.65792;831;831;831;0;0;1;-30;30
160;177;0.00133;0.01569;0.41821;831;831;831;0;0;1;-30;30
2166;160;0.00129;0.06437;0;250;250;250;1.0537;0;1;-30;30
162;161;0;0.0001;0;876;876;876;0;0;1;-30;30
161;166;0.02738;0.14254;0.20047;274;274;274;0;0;1;-30;30
2170;161;0.00159;0.06694;0;160;160;160;1.0229;0;1;-30;30
162;179;0.01905;0.11132;0.16785;274;274;274;0;0;1;-30;30
2169;162;0.0037;0.18657;0;120;120;120;1.0617;0;1;-30;30
164;163;0;0.0001;0;876;876;876;0;0;1;-30;30
163;165;0.0004;0.03;0;500;500;500;1.1321;-3.6;1;-30;30
163;172;0.00564;0.04196;0.06437;274;274;274;0;0;1;-30;30
2188;163;0.00163;0.06671;0;160;160;160;1.0201;0;1;-30;30
164;167;0.00795;0.05919;0.0908;274;274;274;0;0;1;-30;30
2186;164;0.00163;0.06671;0;160;160;160;0.9844;0;1;-30;30
2187;165;0.00059;0.04206;0;330;330;330;1.0822;0;1;-30;30
167;166;0;0.0001;0;876;876;876;0;0;1;-30;30
2195;166;0.00159;0.06736;0;160;160;160;1.0261;0;1;-30;30
2196;167;0.00159;0.06736;0;160;160;160;1.0259;0;1;-30;30
169;168;0;0.0001;0;1593;1593;1593;0;0;1;-30;30
